Title,Description,URL,Category,Type,Curated,Hackaton,Favicon,Metadesc,Cover
Decent,Enable creators and developers to own and monetize the work they produce via web3 applications that leverage NFTs as more than just digital collectibles.,https://decent.xyz/,Other,Partner,No,,https://decent.xyz/images/favi.png,For the artists of every industry.,
Zerion,Allows for transactions with lens handles,https://zerion.io/,Other,Partner,Yes,,https://uploads-ssl.webflow.com/625440d0613eaa2ace513f45/628df206a8ef95007f9892e8_Webclip.png,Zerion Wallet is a smart wallet app for all your crypto wallets. Track your crypto portfolio with a built-in NFT wallet and DeFi tracker. Find best swaps with DEX DeFi aggregator.,https://uploads-ssl.webflow.com/625440d0613eaa2ace513f45/628f4d4539d0ad4d8e0a7e07_Hero.png
Snapshot,Voting polls,https://snapshot.org,DAO Tools,Partner,No,,https://snapshot.org/favicon.png,,
Kleros,,https://kleros.io/,Moderation,Partner,No,,https://kleros.io/icons/icon-512x512.png?v=bcd0ce169f2a262c60ec2cbca43166ee,"The blockchain dispute resolution layer. Fast, open and affordable justice for all.",https://kleros.io/static/open-graph-card-ec90c20e2e4b2b3aa0cd0bce9fc31787.png
Wolrdcoin,,https://worldcoin.org/,Identity,Partner,No,,https://worldcoin.org/favicon/apple-touch-icon.png,"Giving everyone a piece of the future. Worldcoin is a new global currency that will launch by giving a share to everyone, for free",https://worldcoin.org/images/meta.jpg
LitProtocol,,https://litprotocol.com/,Developer Tooling,Partner,No,,https://litprotocol.com/favicon.png,,
Arweave,,https://www.arweave.org/,Developer Tooling,Partner,No,,https://www.arweave.org/favicon-183x183.png,"arweave is a global, permanent hard drive built on two novel technologies: the blockweave, a derivative of the blockchain, and proof of access, a custom incentivised proof of work algorithm. These innovations provide truly permanent data storage for the very first time and at a massive scale.",
PoH,,https://www.proofofhumanity.id/,Identity,Partner,No,,https://uploads-ssl.webflow.com/5fd2301a2f3de083f679382b/5fd2329cbc319b9ee1e7b879_512x512_App_Icon.png,A system combining social verification with video submission to create a Sybil-proof list of humans.,https://app.proofofhumanity.id/images/open-graph-image.png
Sybil.org,,https://sybil.org/,Identity,Partner,No,,https://sybil.org/images/512x512_App_Icon.png,,
IPFS,,https://ipfs.tech/,Developer Tooling,Partner,No,,https://ipfs.tech/favicon.png,"The InterPlanetary File System is a peer-to-peer hypermedia protocol designed to preserve and grow humanity's knowledge by making the web upgradeable, resilient, and more open.",https://ipfs.tech/images/social-card.png
ENS,Ethereum domain name system,https://ens.domains/,Identity,Partner,No,,https://ens.domains/favicon.png,,
POAP,,https://poap.xyz/,Identity,Partner,No,,https://poap.xyz/favicon-32x32.dba5403f.png,The bookmarks of your life.,https://res.cloudinary.com/poap/image/upload/v1623780735/thumbnail_tsx9nn.png
XMTP,Chat protocol,https://xmtp.com/,Developer Tooling,Partner,No,,https://xmtp.com/img/favicon.png,,
Freelansers,Freelance in Web3 done the safest way. Find work opportunities through the Lens social media platform. Safe and secure for both parties.,https://ethglobal.com/showcase/freelensers-3v207,Community Tool,Hackaton,Yes,ETHBogota2022,https://ethglobal.com/favicon.png,Freelance in Web3 done the safest way. Find work opportunities through the Lens social media platform. Safe and secure for both parties.,https://storage.googleapis.com/ethglobal-api-production/projects%2F3v207%2Fimages%2Flogo.png
Off-chain,Off-chan spending application with social sharing features,https://ethglobal.com/showcase/off-chain-79by3,Other,Hackaton,No,ETHBogota2022,https://ethglobal.com/favicon.png,The Social Off-Ramp Debit Card. Allowing crypto users to off-ramp conveniently and  Tap & Go.,https://storage.googleapis.com/ethglobal-api-production/projects%2F79by3%2Fimages%2Fphoto1665320819.jpeg
Coconnect,"We help brands save time when launching marketing campaigns with content creators. Thanks to Lens, they can search for specific influencers and contact them quickly in one step.",https://ethglobal.com/showcase/coconnect-gq5q4,Creator monetization,Hackaton,No,ETHBogota2022,https://ethglobal.com/favicon.png,"We help brands save time when launching marketing campaigns with content creators. Thanks to Lens, they can search for specific influencers and contact them quickly in one step.",https://storage.googleapis.com/ethglobal-api-production/projects%2Fgq5q4%2Fimages%2FFrame%201616%20(1).png
Verify Me!,"We are building an aggregator system for social verification in Lens protocol so other users can check your profile and immediately identify your level of trustworthiness with a visual cue.
We are starting with social verification but we would like to add proof of humanity protocols, verification challenging, NFT minting, among other things.",https://ethglobal.com/showcase/verify-me-gcmnb,Identity,Hackaton,No,ETHBogota2022,https://ethglobal.com/favicon.png,We want to democratize the verification check mark on social media,https://storage.googleapis.com/ethglobal-api-production/projects%2Fgcmnb%2Fimages%2FLogoCompleto.png
LensNote,"Personal and Public notes creation, sharing and monetization using Lens Protocol",https://ethglobal.com/showcase/lensnote-44j3j,Social Media,Hackaton,No,ETHOnline2022,https://ethglobal.com/favicon.png,"Personal and Public notes creation, sharing and monetization using Lens Protocol",https://storage.googleapis.com/ethglobal-api-production/projects%2F44j3j%2Fimages%2Flogo.png
Lenspub,Fast publishing on Lens with Lenspub's wallet activity analyser.,https://ethglobal.com/showcase/lenspub-2r09m,Other,Hackaton,No,ETHOnline2022,https://ethglobal.com/favicon.png,Fast publishing on Lens with Lenspub's wallet activity analyser.,https://storage.googleapis.com/ethglobal-api-production/projects%2F2r09m%2Fimages%2FLENS%20LOGO_All_Full.png
Focalize,Browser extension that allows you to quickly share to Lens Protocol.,https://ethglobal.com/showcase/focalize-9vo88,Other,Hackaton,No,ETHOnline2022,https://ethglobal.com/favicon.png,Browser extension that allows you to quickly share to Lens Protocol.,https://storage.googleapis.com/ethglobal-api-production/projects%2F9vo88%2Fimages%2Ffocalize-icon-inverse.png
Groumit,"Una plataforma que conecta creadores de contenido con marcas para hacer marketing de influencers. Permite realizar interacciones p2p mediante un smart contract, basándose en Lens protocol para automatizar procesos y permitir estrategias con mejor escalabilidad.",https://drive.google.com/file/d/14srmyzlUjMnL6jY99ewoqyY6La60t4Pn/view,Other,Hackaton,No,BearBuilders0922,https://ssl.gstatic.com/images/branding/product/1x/drive_2020q4_32dp.png,,https://lh4.googleusercontent.com/3ChQhCv71A9u7hKtwK7a1UfxJnauQfmntvfAKowekC8rpffCEWjE4eJE-sLkzxtzMMs=w1200-h630-p
HashLens,"Red social construida con Lens enfocada en la búsqueda y organización de contenidos personal y colectiva, donde vas a poder ordenarlos, curarlos, crearlos, explorar, coleccionar y compartir todo lo que sea de tu interés en un mismo lugar.",https://drive.google.com/file/d/1eX2KSgwNsuiY16a6eAN_iZcHbgn45KH1/view,Other,Hackaton,No,BearBuilders0922,https://ssl.gstatic.com/images/branding/product/1x/drive_2020q4_32dp.png,,https://lh4.googleusercontent.com/NR-xDuNTG1JCYpZhAhFKh_UXYkR9Y-qY9NyE9-yM98Ae_9DwnB0g6Yq97x9r6tjVBTk=w1200-h630-p
Starlens,"Plataforma creada sobre Lens protocol en donde los usuarios pueden dar y recibir reviews sobre infinitas temáticas. En base a eso se construye una reputación segura, confiable y descentralizada del perfil en la web3.",https://drive.google.com/file/d/1-enA3it93R4IHqkussnNn-Sbi_PdrrL6/view,Social Media,Hackaton,No,BearBuilders0922,https://ssl.gstatic.com/images/branding/product/1x/drive_2020q4_32dp.png,,https://lh6.googleusercontent.com/hsZ_JO6xKv_-p0u06OM7EhHL1cSb5e3yPtJyX7Ly-Dtk442vthKEFfcq65ugBrhDYrc=w1200-h630-p
ToucanFrens,Show gratitude for social media content with CO2 retirement,https://devfolio.co/projects/toucanfrens-b4c9,Other,Hackaton,No,ETHBerlin2022,https://devfolio.co/favicons/favicon-196x196.png,"Show gratitude for social media content with CO2 retirement.
Use our Lens collect module to automatically retire Toucan`s NCT and challenge other Bloomers to compete for more CO2 offset",https://assets.devfolio.co/hackathons/0a78873945124e769d789beab57b4d29/projects/39a45f1245864c978f8c6782f4cbc606/cb870e34-3909-4c5b-a586-e536426cdecd.jpeg
Whistleblower - Wikileaks,"Whistleblower allows anyone from all over the world to post data, ideas, thoughts, and documents, privately and securely forever using Lens Protocol",https://devfolio.co/projects/whistleblower-wikileaks-on-steroids-6e46,Other,Hackaton,No,ETHBerlin2022,https://devfolio.co/favicons/favicon-196x196.png,"Whistleblower allows anyone from all over the world to post data, ideas, thoughts, and documents, privately and securely forever using Lens Protocol",https://assets.devfolio.co/hackathons/0a78873945124e769d789beab57b4d29/projects/ab90dd19c51f4e5b8c0c16efb29092ab/e43fd070-b52f-4141-809c-86bd73f74aba.jpeg
