Title,Description,URL,Category,Type,Curated,Hackaton
Decent,Enable creators and developers to own and monetize the work they produce via web3 applications that leverage NFTs as more than just digital collectibles.,https://decent.xyz/,Other,Partner,No,
Zerion,Allows for transactions with lens handles,https://zerion.io/,Other,Partner,Yes,
Snapshot,Voting polls,https://snapshot.org,DAO Tools,Partner,No,
Kleros,,https://kleros.io/,Moderation,Partner,No,
Wolrdcoin,,https://worldcoin.org/,Identity,Partner,No,
LitProtocol,,https://litprotocol.com/,Developer Tooling,Partner,No,
Arweave,,https://www.arweave.org/,Developer Tooling,Partner,No,
PoH,,https://www.proofofhumanity.id/,Identity,Partner,No,
Sybil.org,,https://sybil.org/,Identity,Partner,No,
IPFS,,https://ipfs.tech/,Developer Tooling,Partner,No,
ENS,Ethereum domain name system,https://ens.domains/,Identity,Partner,No,
POAP,,https://poap.xyz/,Identity,Partner,No,
XMTP,Chat protocol,https://xmtp.com/,Developer Tooling,Partner,No,
Freelansers,Freelance in Web3 done the safest way. Find work opportunities through the Lens social media platform. Safe and secure for both parties.,https://ethglobal.com/showcase/freelensers-3v207,Community Tool,Hackaton,Yes,ETHBogota2022
Off-chain,Off-chan spending application with social sharing features,https://ethglobal.com/showcase/off-chain-79by3,Other,Hackaton,No,ETHBogota2022
Coconnect,"We help brands save time when launching marketing campaigns with content creators. Thanks to Lens, they can search for specific influencers and contact them quickly in one step.",https://ethglobal.com/showcase/coconnect-gq5q4,Creator monetization,Hackaton,No,ETHBogota2022
Verify Me!,"We are building an aggregator system for social verification in Lens protocol so other users can check your profile and immediately identify your level of trustworthiness with a visual cue.
We are starting with social verification but we would like to add proof of humanity protocols, verification challenging, NFT minting, among other things.",https://ethglobal.com/showcase/verify-me-gcmnb,Identity,Hackaton,No,ETHBogota2022
LensNote,"Personal and Public notes creation, sharing and monetization using Lens Protocol",https://ethglobal.com/showcase/lensnote-44j3j,Social Media,Hackaton,No,ETHOnline2022
Lenspub,Fast publishing on Lens with Lenspub's wallet activity analyser.,https://ethglobal.com/showcase/lenspub-2r09m,Other,Hackaton,No,ETHOnline2022
Focalize,Browser extension that allows you to quickly share to Lens Protocol.,https://ethglobal.com/showcase/focalize-9vo88,Other,Hackaton,No,ETHOnline2022
Groumit,"Una plataforma que conecta creadores de contenido con marcas para hacer marketing de influencers. Permite realizar interacciones p2p mediante un smart contract, basándose en Lens protocol para automatizar procesos y permitir estrategias con mejor escalabilidad.",https://drive.google.com/file/d/14srmyzlUjMnL6jY99ewoqyY6La60t4Pn/view,Other,Hackaton,No,BearBuilders0922
HashLens,"Red social construida con Lens enfocada en la búsqueda y organización de contenidos personal y colectiva, donde vas a poder ordenarlos, curarlos, crearlos, explorar, coleccionar y compartir todo lo que sea de tu interés en un mismo lugar.",https://drive.google.com/file/d/1eX2KSgwNsuiY16a6eAN_iZcHbgn45KH1/view,Other,Hackaton,No,BearBuilders0922
Starlens,"Plataforma creada sobre Lens protocol en donde los usuarios pueden dar y recibir reviews sobre infinitas temáticas. En base a eso se construye una reputación segura, confiable y descentralizada del perfil en la web3.",https://drive.google.com/file/d/1-enA3it93R4IHqkussnNn-Sbi_PdrrL6/view,Social Media,Hackaton,No,BearBuilders0922
ToucanFrens,Show gratitude for social media content with CO2 retirement,https://devfolio.co/projects/toucanfrens-b4c9,Other,Hackaton,No,ETHBerlin2022
Whistleblower - Wikileaks,"Whistleblower allows anyone from all over the world to post data, ideas, thoughts, and documents, privately and securely forever using Lens Protocol",https://devfolio.co/projects/whistleblower-wikileaks-on-steroids-6e46,Other,Hackaton,No,ETHBerlin2022
TATER POT,A lottery game of hot potato & uncomfortable truths addressing bias + privacy,https://devfolio.co/projects/tater-pot-5ad8,Other,Hackaton,No,ETHBerlin2022
Lens Pocket,Your Lens Profile on iOS in a glance,https://devfolio.co/projects/lens-pocket-ad57,Other,Hackaton,No,ETHBerlin2022
RAP - Reputation Attendance,reputation-based entry for crypto events,https://devfolio.co/projects/rap-reputation-attendance-protocol-0dec,Moderation,Hackaton,No,ETHBerlin2022
Libertapp,Censorship-resistant DApp Client,https://devfolio.co/projects/libertapp-937b,Developer Tooling,Hackaton,No,ETHBerlin2022
