title,launch_date,description,cc,type,curated,hackaton,category
Buttrfly,2022-10-17T02:39:00.000+01:00,You own your data. The social media you deserve.,undefined,Application,true,undefined,Social Media ❤️‍🔥
DeShare,undefined,"A Decentralised Content sharing with web2 like experience, and Smart contract based Incentive",undefined,Hackaton,false,ETHIndia2022,Social Media ❤️‍🔥
Fanstastic,2022-10-17T02:39:00.000+01:00,Share your social media profiles,undefined,Application,true,undefined,Social Media ❤️‍🔥
Gummys,2022-10-17T02:39:00.000+01:00,undefined,undefined,Application,false,undefined,Social Media ❤️‍🔥
Hacklens,2022-10-17T02:39:00.000+01:00,"A decentralised social network that allows hackathon organizers, builders & sponsors to form lasting creative relationships and support each other",undefined,Hackaton,false,ETHAMSTERDAM,Social Media ❤️‍🔥
Iris,2022-10-17T02:39:00.000+01:00,The future of decentralized social,undefined,Integration,false,undefined,Social Media ❤️‍🔥
LensMaxi,undefined,Maximizing content impact,undefined,Hackaton,false,ETHIndia2022,Social Media ❤️‍🔥
LensNote,2022-10-17T02:39:00.000+01:00,"Personal and Public notes creation, sharing, and monetization using Lens Protocol",undefined,Hackaton,false,ETHOnline2022,Social Media ❤️‍🔥
Lenster,2022-10-17T02:39:00.000+01:00,"Lenster is a composable, decentralized, and permissionless social media web app built with Lens Protocol 🌿",undefined,Hackaton,true,LFGROW,Social Media ❤️‍🔥
LensTok,undefined,Decentralized Short form video content creation platform with a composable and decentralized social graph.,undefined,Hackaton,false,ETHIndia2022,Social Media ❤️‍🔥
Lenstube,2022-10-17T02:39:00.000+01:00,Lenstube is a decentralized video-sharing social media platform built with Lens protocol.,undefined,Hackaton,true,LFGROW,Social Media ❤️‍🔥
Memester,2022-10-17T02:39:00.000+01:00,The NFT Meme Platform. Create memes and turn them into NFTs. Participate in meme competitions and win prizes.,undefined,Application,true,undefined,Social Media ❤️‍🔥
Onboard,2022-10-17T02:39:00.000+01:00,You own your data. The social media you deserve.,undefined,Application,true,undefined,Social Media ❤️‍🔥
OpenQ VidQ'S,2022-10-17T02:39:00.000+01:00,Bite-sized decentralized coding tutorial videos (that solve actual GitHub issues),undefined,Hackaton,false,ETHBerlin2022,Social Media ❤️‍🔥
Orb,2022-10-17T02:39:00.000+01:00,"Decentralized professional social media app with an end-to-end on-chain credibility system; connecting companies, projects, and people; built with Lens protocol on Polygon chain.",undefined,Application,true,undefined,Social Media ❤️‍🔥
Phaver,2022-10-17T02:39:00.000+01:00,Help us curate interesting stuff online and offline and get rewarded.,undefined,Application,true,undefined,Social Media ❤️‍🔥
re:meme,2022-10-17T02:39:00.000+01:00,"On-chain meme generator, built on top of Lens Protocol",undefined,Application,true,undefined,Social Media ❤️‍🔥
Share,2022-10-17T02:39:00.000+01:00,"Publish, Read, Connect and Collect the Best Writings of Your Favorite Authors",undefined,Application,true,undefined,Social Media ❤️‍🔥
SiC,2022-10-17T02:39:00.000+01:00,Tokenized and memetic content sharing and interests network/graph,undefined,Hackaton,false,ETHBerlin2022,Social Media ❤️‍🔥
SoundIt,2022-10-17T02:39:00.000+01:00,undefined,undefined,Application,false,undefined,Social Media ❤️‍🔥
Starlens,2022-10-17T02:39:00.000+01:00,"Plataforma creada sobre Lens protocol en donde los usuarios pueden dar y recibir reviews sobre infinitas temáticas. En base a eso se construye una reputación segura, confiable y descentralizada del perfil en la web3.",undefined,Hackaton,false,BearBuilders0922,Social Media ❤️‍🔥
Superclub,2022-10-17T02:39:00.000+01:00,"Join Web3 communities to learn about the latest news, updates, events, projects, brands, and applications.",undefined,Application,false,undefined,Social Media ❤️‍🔥
Superfun,2022-10-17T02:39:00.000+01:00,A social app for Meme artists to get rewarded for their super fun content.,undefined,Application,false,undefined,Social Media ❤️‍🔥
theDial,undefined,A social canvas where prompts become craft,undefined,Application,true,undefined,Social Media ❤️‍🔥
YUP,2022-10-19T16:30:00.000+01:00,Web3 Social Network,undefined,Application,true,undefined,Social Media ❤️‍🔥
Zilly,2022-10-17T02:39:00.000+01:00,undefined,undefined,Application,false,undefined,Social Media ❤️‍🔥
LensPort ,2022-10-17T02:39:00.000+01:00,"Discover, collect, and sell posts. Invest in creators you support.",undefined,Application,true,undefined,Curation 🧹
Lensta,2022-10-17T02:39:00.000+01:00,Feed of the most recent images posted on Lens Protocol ,undefined,Application,true,undefined,Curation 🧹
LensTags,2022-10-17T02:39:00.000+01:00,"LensTags is a Web3 Social Graph focused on collective-knowledge, content discovery and personal organization using Tags.",undefined,Hackaton,false,BearBuilders0922,Curation 🧹
Chainjet,2022-10-28T09:04:00.000+01:00,"Build web3automation,easily.",undefined,Application,true,undefined,Tools 🛠
